model,lambda,epoch,loss,accuracy,kappa
Model5,-100.0,1,0.5802870046355905,78.87109077040427,0.7157487273216248
Model5,-100.0,2,0.6161859406031879,73.83676582761251,0.6479606032371521
Model5,-100.0,3,0.9883690224882303,68.95499618611747,0.5762870907783508
Model5,-100.0,4,0.40295114494934053,83.9816933638444,0.7838900685310364
Model5,-100.0,5,0.7859301121065764,68.57360793287567,0.5790640711784363
Model5,-100.0,6,0.6398414134905367,78.48970251716247,0.71109938621521
Model5,-100.0,7,0.4527417584730868,82.37986270022883,0.7634794116020203
Model5,-100.0,8,0.6208489694150234,78.10831426392068,0.702690839767456
Model5,-100.0,9,0.4566966438002481,83.75286041189932,0.7814384698867798
Model5,-100.0,10,0.8825396345850168,71.24332570556827,0.6069937944412231
Model5,-100.0,11,0.32000033228361907,88.32951945080092,0.842772901058197
Model5,-100.0,12,0.3227473217269376,88.1769641495042,0.8406767845153809
Model5,-100.0,13,0.2910094538903891,89.7025171624714,0.8613787889480591
Model5,-100.0,14,0.27739988641939844,90.38901601830663,0.8706900477409363
Model5,-100.0,15,0.3000307340802899,88.32951945080092,0.8429560661315918
Model5,-100.0,16,0.27799091508298046,90.8466819221968,0.8769193291664124
Model5,-100.0,17,0.2761313912070134,89.7025171624714,0.8615505695343018
Model5,-100.0,18,0.2839254627045468,90.16018306636155,0.8676204681396484
Model5,-100.0,19,0.28567982289420113,89.24485125858124,0.8554589748382568
Model5,-100.0,20,0.2642044000964097,90.38901601830663,0.870739221572876
Model5,-100.0,21,0.263079783051615,91.07551487414187,0.8799670338630676
Model5,-100.0,22,0.25635661823713396,91.99084668192219,0.8923118114471436
Model5,-100.0,23,0.2586881840398392,90.77040427154844,0.8759312033653259
Model5,-100.0,24,0.2539872050677475,90.69412662090008,0.8748976588249207
Model5,-100.0,25,0.26049326491221775,90.54157131960335,0.8726950287818909
Model5,-100.0,26,0.23758997011739366,91.83829138062548,0.8904415965080261
Model5,-100.0,27,0.23895771009243688,91.30434782608695,0.8830824494361877
Model5,-100.0,28,0.24521377547711565,91.38062547673532,0.8841060996055603
Model5,-100.0,29,0.2507536400373795,90.99923722349352,0.8789656758308411
Model5,-100.0,30,0.24767451913505906,91.83829138062548,0.8902652263641357
Model5,-100.0,31,0.2391197880279645,91.2280701754386,0.8820081353187561
Model5,-100.0,32,0.2320972484892375,91.83829138062548,0.8903079628944397
Model5,-100.0,33,0.22225610662356848,93.05873379099924,0.9066916704177856
Model5,-100.0,34,0.237927970457268,91.99084668192219,0.8924190998077393
Model5,-100.0,35,0.24558218072994714,90.92295957284516,0.8779799938201904
Model5,-100.0,36,0.22949787444974246,91.83829138062548,0.8902356028556824
Model5,-100.0,37,0.2147357243388141,93.05873379099924,0.9067224264144897
Model5,-100.0,38,0.21650535996341233,92.67734553775743,0.90159010887146
Model5,-100.0,39,0.22395831581793332,92.14340198321892,0.8943423628807068
Model5,-100.0,40,0.2383006535396605,91.15179252479024,0.881075382232666
Model5,-100.0,41,0.2227404492272847,92.21967963386727,0.8954786062240601
Model5,-100.0,42,0.200344533876187,93.13501144164759,0.9076675176620483
Model5,-100.0,43,0.20540093120207412,93.28756674294432,0.9097964763641357
Model5,-100.0,44,0.19476984724158053,93.8977879481312,0.9180120229721069
Model5,-100.0,45,0.2007974551849971,93.74523264683448,0.9159212708473206
Model5,-100.0,46,0.20614946561330585,93.13501144164759,0.907614529132843
Model5,-100.0,47,0.21868238034910323,92.372234935164,0.8975312113761902
Model5,-100.0,48,0.1972811447952332,93.82151029748283,0.9168938398361206
Model5,-100.0,49,0.18453791120368773,93.36384439359267,0.9107977151870728
Model5,-100.0,50,0.20666141478695732,93.36384439359267,0.9107832908630371
Model5,0.0,1,0.5827940080931494,74.67581998474446,0.662583589553833
Model5,0.0,2,0.5073936709027359,79.86270022883295,0.7289738059043884
Model5,0.0,3,0.6667448093561977,77.57437070938215,0.6970951557159424
Model5,0.0,4,0.5443300764402481,76.20137299771167,0.6801126003265381
Model5,0.0,5,0.42295938321054666,81.15942028985508,0.7480509877204895
Model5,0.0,6,1.3607178451095563,71.39588100686498,0.6093908548355103
Model5,0.0,7,0.6376991999542666,76.50648360030512,0.6854844093322754
Model5,0.0,8,0.7393046671611312,74.37070938215103,0.6553959846496582
Model5,0.0,9,0.7319239128486151,72.99771167048056,0.6348835825920105
