model,lambda,epoch,loss,accuracy,kappa
Model1,-100.0,1,0.6933835653158334,62.5,0.0
Model1,-100.0,2,0.6948637679601327,62.5,0.0
Model1,-100.0,3,0.6862298655204284,61.53846153846154,-0.019108355045318604
Model1,-100.0,4,0.689427008231481,60.416666666666664,-0.038906462490558624
Model1,-100.0,5,0.6891270264601096,59.455128205128204,-0.0443757139146328
Model1,-100.0,6,0.6896521556071746,58.81410256410256,-0.045778412371873856
Model1,-100.0,7,0.6885288930856265,59.13461538461539,-0.04187958315014839
Model1,-100.0,8,0.6897471868074857,59.77564102564103,-0.03186009079217911
Model1,-100.0,9,0.6847610404858222,59.61538461538461,-0.030674811452627182
Model1,-100.0,10,0.6832983906452472,59.77564102564103,-0.03186009079217911
Model1,-100.0,11,0.680462658405304,58.81410256410256,-0.02902909182012081
Model1,-100.0,12,0.6793258725068508,59.455128205128204,-0.006965250242501497
Model1,-100.0,13,0.67744541932375,59.455128205128204,-0.013013113290071487
Model1,-100.0,14,0.6749149484512134,59.61538461538461,-0.01818188838660717
Model1,-100.0,15,0.6738442098483061,59.93589743589744,0.011857752688229084
Model1,-100.0,16,0.6769078182868469,59.77564102564103,-0.0297435000538826
Model1,-100.0,17,0.6730149609920306,59.61538461538461,0.02135935053229332
Model1,-100.0,18,0.6716106159564776,59.61538461538461,0.01945541985332966
Model1,-100.0,19,0.6698318093250959,59.294871794871796,0.015503982082009315
Model1,-100.0,20,0.6669326806679751,59.13461538461539,-0.0009812605567276478
Model1,-100.0,21,0.666958695038771,59.93589743589744,0.003984128125011921
Model1,-100.0,22,0.666930921566792,59.455128205128204,-0.019133908674120903
Model1,-100.0,23,0.6659869949022929,59.13461538461539,-0.0029498636722564697
Model1,-100.0,24,0.6671609832690313,59.61538461538461,0.027027035132050514
Model1,-100.0,25,0.6624281926032825,59.455128205128204,0.002955676056444645
Model1,-100.0,26,0.6662426804884886,59.455128205128204,-0.0049653612077236176
Model1,-100.0,27,0.666497392532153,60.256410256410255,0.07462682574987411
Model1,-100.0,28,0.6611838096227401,60.256410256410255,0.036893293261528015
Model1,-100.0,29,0.6592872708271711,59.61538461538461,0.005917182192206383
Model1,-100.0,30,0.6641274369679965,59.455128205128204,0.006869554053992033
Model1,-100.0,31,0.6617535299215561,60.57692307692308,0.06641367822885513
Model1,-100.0,32,0.6607214105434907,60.57692307692308,0.05384603142738342
Model1,-100.0,33,0.6587861829843277,60.57692307692308,0.07344632595777512
Model1,-100.0,34,0.6585055421560239,60.57692307692308,0.042801663279533386
Model1,-100.0,35,0.6604791971353384,60.416666666666664,0.08433730900287628
Model1,-100.0,36,0.6595526138941447,61.05769230769231,0.07516655325889587
Model1,-100.0,37,0.6605591835119785,60.57692307692308,0.07692300528287888
Model1,-100.0,38,0.6619514028231303,60.416666666666664,0.08433730900287628
Model1,-100.0,39,0.6588077163084959,61.05769230769231,0.08215287327766418
Model1,-100.0,40,0.6582798927258222,60.8974358974359,0.0878504291176796
Model1,-100.0,41,0.6574059541408832,60.73717948717949,0.04761899262666702
Model1,-100.0,42,0.6568999450940353,60.256410256410255,0.09157507866621017
Model1,-100.0,43,0.6522915011797196,61.69871794871795,0.09383880347013474
Model1,-100.0,44,0.6663721005121866,59.77564102564103,0.11541851609945297
Model1,-100.0,45,0.6574387214122674,60.416666666666664,0.0944088026881218
Model1,-100.0,46,0.659112328902269,60.256410256410255,0.08990827947854996
Model1,-100.0,47,0.6548636838411673,61.53846153846154,0.07869488000869751
Model1,-100.0,48,0.6528096634608048,61.53846153846154,0.0977444052696228
Model1,-100.0,49,0.6542946619865222,60.8974358974359,0.09796673059463501
Model1,-100.0,50,0.6548457359656309,60.8974358974359,0.09963095933198929
Model1,0.0,1,0.6837370907649015,62.5,0.0
Model1,0.0,2,0.6949064746881143,62.5,0.0
Model1,0.0,3,0.6885957060716091,62.33974358974359,-0.003201560815796256
Model1,0.0,4,0.6887297103038201,60.73717948717949,-0.03484686091542244
Model1,0.0,5,0.6853467012063051,60.73717948717949,-0.0283316969871521
Model1,0.0,6,0.6810129269575461,60.416666666666664,-0.028095845133066177
Model1,0.0,7,0.6797744822807801,60.256410256410255,-0.031185153871774673
Model1,0.0,8,0.6825705354030316,60.416666666666664,-0.028095845133066177
Model1,0.0,9,0.6759113478354919,59.93589743589744,-0.03305792808532715
Model1,0.0,10,0.6764333141155732,60.09615384615385,-0.027863729745149612
Model1,0.0,11,0.673541043813412,58.65384615384615,-0.036144569516181946
Model1,0.0,12,0.6695478176459287,58.81410256410256,-0.008832074701786041
Model1,0.0,13,0.6692449091336666,59.455128205128204,0.0009870727080851793
Model1,0.0,14,0.668371836344401,59.455128205128204,-0.019133908674120903
Model1,0.0,15,0.6698190990166787,59.13461538461539,-0.0029498636722564697
Model1,0.0,16,0.6740683485300113,59.455128205128204,-0.025329429656267166
Model1,0.0,17,0.6637501105284079,60.73717948717949,0.07634308189153671
Model1,0.0,18,0.6638749952499683,60.8974358974359,0.07575753331184387
Model1,0.0,19,0.6601106295218835,61.217948717948715,0.08679258823394775
Model1,0.0,20,0.6603290132987194,59.61538461538461,0.023255901411175728
Model1,0.0,21,0.6589470436939826,60.09615384615385,0.03206995129585266
Model1,0.0,22,0.6610428049014165,59.13461538461539,-0.004926078021526337
