model,lambda,epoch,loss,accuracy,kappa
Model3,-100.0,1,0.6773586166805207,71.39588100686498,0.6175559759140015
Model3,-100.0,2,0.6038976630848114,78.56598016781084,0.7092984914779663
Model3,-100.0,3,0.4632555920599436,81.15942028985508,0.7468788027763367
Model3,-100.0,4,0.4823197889746281,80.39664378337147,0.7358424067497253
Model3,-100.0,5,0.5389986020931299,78.03203661327231,0.7044753432273865
Model3,-100.0,6,0.5860199022506777,79.09992372234935,0.7172329425811768
Model3,-100.0,7,0.8863218683013472,65.98016781083143,0.5383875966072083
Model3,-100.0,8,0.6177559048960356,72.99771167048056,0.6364238858222961
Model3,-100.0,9,0.492433362249015,81.00686498855835,0.7439212203025818
Model3,-100.0,10,0.3947905872349608,85.65980167810831,0.8066440224647522
Model3,-100.0,11,0.3700287586559693,86.49885583524028,0.8181978464126587
Model3,-100.0,12,0.3735074822533049,86.2700228832952,0.8150292038917542
Model3,-100.0,13,0.3610672111346647,86.88024408848207,0.8233174085617065
Model3,-100.0,14,0.35687917225420884,86.95652173913044,0.824406087398529
Model3,-100.0,15,0.35367875232508306,87.33790999237223,0.8294978737831116
Model3,-100.0,16,0.36415452980113155,86.57513348588863,0.819222092628479
Model3,-100.0,17,0.34996214078229226,87.56674294431731,0.8325686454772949
Model3,-100.0,18,0.34910769578748585,87.56674294431731,0.832740843296051
Model3,-100.0,19,0.3467408929057107,86.95652173913044,0.8245985507965088
Model3,-100.0,20,0.3339760992576565,88.32951945080092,0.8428261280059814
Model3,-100.0,21,0.34235736217937973,87.49046529366896,0.8314891457557678
Model3,-100.0,22,0.33505136156518617,88.71090770404271,0.8482247591018677
Model3,-100.0,23,0.38321588199776063,86.19374523264683,0.8139428496360779
Model3,-100.0,24,0.33786105186110865,88.40579710144928,0.8439022302627563
Model3,-100.0,25,0.3375167898225657,88.40579710144928,0.8438988924026489
Model3,-100.0,26,0.33010693611669506,88.10068649885584,0.8402066826820374
Model3,-100.0,27,0.336495908768599,88.40579710144928,0.843834638595581
Model3,-100.0,28,0.32615319427463685,88.1769641495042,0.8407412171363831
Model3,-100.0,29,0.31366193685240185,88.78718535469108,0.8491249084472656
Model3,-100.0,30,0.31997749053686286,89.3211289092296,0.8561970591545105
Model3,-100.0,31,0.3251060445080451,88.40579710144928,0.8438482284545898
Model3,-100.0,32,0.33004878027169965,88.86346300533944,0.8501034379005432
Model3,-100.0,33,0.31290734021673666,89.7025171624714,0.8615145087242126
Model3,-100.0,34,0.31097799181528984,90.23646071700992,0.8687792420387268
Model3,-100.0,35,0.3278819537124136,89.01601830663616,0.8519613146781921
Model3,-100.0,36,0.3169144125901089,88.93974065598779,0.8510847091674805
Model3,-100.0,37,0.3356250021223073,87.94813119755912,0.8376370072364807
Model3,-100.0,38,0.2985316064012678,89.93135011441647,0.8645740151405334
Model3,-100.0,39,0.3164678825922225,88.86346300533944,0.8501812219619751
Model3,-100.0,40,0.30997438053795845,90.00762776506484,0.8656287789344788
Model3,-100.0,41,0.3044531067348818,89.54996186117468,0.8594974279403687
Model3,-100.0,42,0.30876354064471295,89.7025171624714,0.8613077402114868
Model3,-100.0,43,0.31116986353146403,89.39740655987795,0.857405424118042
Model3,-100.0,44,0.3016726686175228,90.23646071700992,0.8686575293540955
Model3,-100.0,45,0.29225005956493105,90.31273836765827,0.8697845935821533
Model3,-100.0,46,0.29204985019157714,90.61784897025171,0.8738901019096375
Model3,-100.0,47,0.29366823901016686,90.465293668955,0.8718105554580688
Model3,-100.0,48,0.29115201701913784,90.38901601830663,0.8707160949707031
Model3,-100.0,49,0.2877608550375741,90.77040427154844,0.8758822083473206
Model3,-100.0,50,0.28895525950270695,90.61784897025171,0.8737635612487793
Model3,0.0,1,0.7443615914891459,68.34477498093058,0.5808536410331726
Model3,0.0,2,0.5243519969017427,80.24408848207476,0.7338961362838745
Model3,0.0,3,0.434357681829542,83.82913806254767,0.7826849818229675
Model3,0.0,4,0.4130090794758338,85.04958047292143,0.7987684607505798
Model3,0.0,5,0.44747612073528775,82.91380625476735,0.7703561782836914
Model3,0.0,6,0.44313803067094126,84.13424866514111,0.7858378887176514
Model3,0.0,7,0.35357508238924995,88.1769641495042,0.8406640291213989
Model3,0.0,8,0.3581664575296536,86.88024408848207,0.8230082392692566
Model3,0.0,9,0.5337388961484285,82.83752860411899,0.7678381204605103
Model3,0.0,10,0.5071439709284212,81.92219679633867,0.7562026977539062
Model3,0.0,11,0.38746736022770906,87.18535469107552,0.828314483165741
Model3,0.0,12,0.44121821167858205,84.89702517162472,0.7969278693199158
Model3,0.0,13,0.39937046744798904,85.1258581235698,0.7993993163108826
Model3,0.0,14,0.19622221697209946,93.13501144164759,0.9077339768409729
Model3,0.0,15,0.18660902476874497,93.28756674294432,0.90973961353302
Model3,0.0,16,0.19091171840764157,93.05873379099924,0.9066585898399353
Model3,0.0,17,0.1976676607869628,92.98245614035088,0.9055803418159485
Model3,0.0,18,0.18985412871531865,93.28756674294432,0.909762442111969
Model3,0.0,19,0.1902673780111117,92.7536231884058,0.9026196599006653
Model3,0.0,20,0.1856359997501385,92.98245614035088,0.905574381351471
Model3,0.0,21,0.18049270667641515,93.97406559877956,0.9189220070838928
Model3,0.0,22,0.16067344225903307,94.50800915331808,0.9261795878410339
Model3,0.0,23,0.1768820804965055,93.44012204424104,0.9117949604988098
Model3,0.0,24,0.1910830825413801,92.67734553775743,0.9015616178512573
Model3,0.0,25,0.17019000220162941,93.82151029748283,0.9169225096702576
Model3,0.0,26,0.15274038094839665,95.0419527078566,0.9333683848381042
Model3,0.0,27,0.16750574420106085,94.50800915331808,0.926170289516449
Model3,0.0,28,0.15638162359356608,94.35545385202136,0.9241368174552917
Model3,0.0,29,0.14774546443472647,94.6605644546148,0.9282349944114685
Model3,0.0,30,0.145824662457319,94.96567505720824,0.9323210716247559
Model3,0.0,31,0.15864840453074325,94.6605644546148,0.9281852841377258
Model3,0.0,32,0.16289930544867487,94.81311975591152,0.9302339553833008
Model3,0.0,33,0.14655538331390472,95.19450800915332,0.9353813529014587
Model3,0.0,34,0.15529353309189722,95.19450800915332,0.9353792667388916
Model3,0.0,35,0.1652436515300028,94.6605644546148,0.9281655550003052
Model3,0.0,36,0.15248698203289537,94.35545385202136,0.9241177439689636
Model3,0.0,37,0.13967237154179565,94.58428680396644,0.9271968007087708
Model3,0.0,38,0.14203687864380607,94.35545385202136,0.9241088628768921
Model3,0.0,39,0.1320239170806086,94.81311975591152,0.930300235748291
Model3,0.0,40,0.13801525349208046,94.81311975591152,0.930274248123169
Model3,0.0,41,0.1331296888436528,95.34706331045004,0.9374673366546631
Model3,0.0,42,0.14697595042887646,94.27917620137299,0.9230878353118896
Model3,0.0,43,0.1398799317263061,94.96567505720824,0.9323155283927917
Model3,0.0,44,0.13388211096187275,95.34706331045004,0.9374581575393677
Model3,0.0,45,0.1355091874465676,95.27078565980167,0.9364373087882996
Model3,0.0,46,0.13348395769817514,95.4233409610984,0.9384883046150208
Model3,0.0,47,0.14012642111558207,94.50800915331808,0.9261757135391235
Model3,0.0,48,0.1365079480229751,95.27078565980167,0.936428964138031
Model3,0.0,49,0.13552704754318903,95.34706331045004,0.9374544620513916
Model3,0.0,50,0.13188836751697539,95.27078565980167,0.9364283680915833
Model3,50.0,1,0.6164331732589174,74.8283752860412,0.6618004441261292
Model3,50.0,2,0.5387223354284314,79.023646071701,0.7171348333358765
Model3,50.0,3,0.4225377907833009,83.82913806254767,0.7823368310928345
Model3,50.0,4,0.42568730090657414,82.83752860411899,0.7692968845367432
Model3,50.0,5,0.4161660543250092,84.89702517162472,0.797175407409668
Model3,50.0,6,0.41783487947954645,83.67658276125096,0.7798733115196228
Model3,50.0,7,0.6042939945146112,79.17620137299771,0.7162526249885559
