model,lambda,epoch,loss,accuracy,kappa
Model5,-100.0,1,0.820278116597388,66.18589743589743,0.11991648375988007
Model5,-100.0,2,0.30047545314599305,88.78205128205128,0.753086507320404
Model5,-100.0,3,0.731594116665805,71.9551282051282,0.29789361357688904
Model5,-100.0,4,0.562644286845357,77.56410256410257,0.4584139287471771
Model5,-100.0,5,0.38740165015825856,85.8974358974359,0.7056857347488403
Model5,-100.0,6,1.0399242376144497,67.3076923076923,0.1552794873714447
Model5,-100.0,7,1.2955428729526317,63.46153846153846,0.03184710070490837
Model5,-100.0,8,0.509218972033033,79.96794871794872,0.5233556628227234
Model5,-100.0,9,0.3475562575249336,88.14102564102564,0.7309090495109558
Model5,-100.0,10,0.36833970329891413,87.5,0.7148080468177795
Model5,-100.0,11,0.4329872577904891,83.33333333333333,0.6104869246482849
Model5,-100.0,12,0.3513540895894552,87.66025641025641,0.7192343473434448
Model5,-100.0,13,0.3967433218868115,85.73717948717949,0.6718894243240356
Model5,-100.0,14,0.332310816559654,88.62179487179488,0.743913471698761
Model5,-100.0,15,0.3400477236853196,88.14102564102564,0.7313973903656006
Model5,-100.0,16,0.368018437606784,86.85897435897436,0.7001828551292419
Model5,-100.0,17,0.37301638091985995,87.01923076923077,0.703568160533905
Model5,-100.0,18,0.38962601125240326,86.21794871794872,0.6838236451148987
Model5,-100.0,19,0.3724876946459214,86.85897435897436,0.6996337175369263
Model5,-100.0,20,0.3721235726410762,86.85897435897436,0.7001828551292419
Model5,-100.0,21,0.36473760959238577,86.85897435897436,0.7001828551292419
Model5,-100.0,22,0.38896124310887015,86.0576923076923,0.6798528432846069
Model5,-100.0,23,0.39185187991899556,85.8974358974359,0.6758748292922974
Model5,-100.0,24,0.35608728456860167,87.66025641025641,0.7197452783584595
Model5,-100.0,25,0.39539223926094097,85.8974358974359,0.6758748292922974
Model5,-100.0,26,0.3486146188508242,87.82051282051282,0.7236363291740417
Model5,-100.0,27,0.35569868857661885,87.5,0.7158470153808594
Model5,-100.0,28,0.3626443507293096,87.33974358974359,0.7114155888557434
Model5,-100.0,29,0.353275548427915,87.33974358974359,0.7119417190551758
Model5,-100.0,30,0.36929443781861127,87.17948717948718,0.7074954509735107
Model5,-100.0,31,0.33418794807333213,88.62179487179488,0.7429864406585693
Model5,-100.0,32,0.3879393679209245,86.21794871794872,0.6838236451148987
Model5,-100.0,33,0.37166453329607463,87.17948717948718,0.7074954509735107
Model5,-100.0,34,0.36241517196863127,87.33974358974359,0.7114155888557434
Model5,-100.0,35,0.3182365080007376,90.06410256410257,0.7773787975311279
Model5,-100.0,36,0.3748347679965007,86.85897435897436,0.6996337175369263
Model5,-100.0,37,0.38333380301124775,86.37820512820512,0.6877869367599487
Model5,-100.0,38,0.3514601235779432,87.66025641025641,0.7197452783584595
Model5,-100.0,39,0.36235797825532085,87.5,0.7153284549713135
Model5,-100.0,40,0.344320849634898,88.14102564102564,0.7313973903656006
Model5,-100.0,41,0.34481022860377264,88.30128205128206,0.7352674603462219
Model5,-100.0,42,0.3554742493881629,87.66025641025641,0.7197452783584595
Model5,-100.0,43,0.3719568347606139,86.85897435897436,0.6996337175369263
Model5,-100.0,44,0.4196634555999667,84.2948717948718,0.6356877684593201
Model5,-100.0,45,0.34173529241711664,87.98076923076923,0.7275204658508301
Model5,-100.0,46,0.3668955487605089,87.33974358974359,0.7114155888557434
Model5,-100.0,47,0.3626791840323653,87.33974358974359,0.7114155888557434
Model5,-100.0,48,0.3484915843567787,87.82051282051282,0.7236363291740417
Model5,-100.0,49,0.3776730893132014,86.69871794871794,0.6956920027732849
Model5,-100.0,50,0.3628956794452209,87.66025641025641,0.7192343473434448
Model5,0.0,1,0.4290271677458898,83.65384615384616,0.6215214133262634
Model5,0.0,2,0.32541267497417253,88.46153846153847,0.7419355511665344
Model5,0.0,3,1.127034118769165,64.74358974358974,0.07368437200784683
Model5,0.0,4,0.3475172376403442,88.9423076923077,0.7511271238327026
Model5,0.0,5,0.2647098990587088,89.58333333333333,0.7772065997123718
Model5,0.0,6,1.4859271517280155,64.26282051282051,0.0580781027674675
Model5,0.0,7,2.4007951360589894,62.66025641025641,0.005336305126547813
Model5,0.0,8,0.3442965151789861,89.42307692307692,0.7630161643028259
Model5,0.0,9,0.5812192028268981,81.25,0.5563980937004089
Model5,0.0,10,1.0600564231385643,70.1923076923077,0.24390245974063873
Model5,0.0,11,0.2916135336153018,91.18589743589743,0.8047915101051331
Model5,0.0,12,0.5493059834429564,81.89102564102564,0.5731821656227112
