model,lambda,epoch,loss,accuracy,kappa
Model2,-100.0,1,0.8176554941112626,67.65827612509534,0.5661240816116333
Model2,-100.0,2,0.8015356245248214,64.30205949656751,0.522863507270813
Model2,-100.0,3,0.6831674183897168,74.75209763539283,0.6586365103721619
Model2,-100.0,4,0.6711422662804092,73.83676582761251,0.6482794284820557
Model2,-100.0,5,0.6252514114823622,75.20976353928299,0.6670207381248474
Model2,-100.0,6,0.6446484793332767,72.92143401983219,0.6375588178634644
Model2,-100.0,7,0.8751917784219475,63.69183829138063,0.519224226474762
Model2,-100.0,8,0.7006997208300663,70.78565980167811,0.6065987348556519
Model2,-100.0,9,0.710798870598788,67.20061022120518,0.5607003569602966
Model2,-100.0,10,0.8483449896494911,60.56445461479787,0.47697868943214417
Model2,-100.0,11,0.622098469897866,73.37909992372235,0.6429955959320068
Model2,-100.0,12,0.9029759191812039,61.937452326468346,0.4765273630619049
Model2,-100.0,13,0.6121064297667357,72.69260106788711,0.6332990527153015
Model2,-100.0,14,0.6191012367867587,74.29443173150267,0.6548159718513489
Model2,-100.0,15,0.6238906225523451,78.18459191456903,0.7049242258071899
Model2,-100.0,16,0.5864770580438328,76.81159420289855,0.6892582178115845
Model2,-100.0,17,0.5904735926450617,78.03203661327231,0.7033510804176331
Model2,-100.0,18,0.5657029372535527,78.18459191456903,0.7060726881027222
Model2,-100.0,19,0.5321695842786567,79.93897787948131,0.729381799697876
Model2,-100.0,20,0.5119603288073652,80.93058733791,0.7431617975234985
Model2,-100.0,21,0.5575872284369465,76.43020594965675,0.6837694048881531
Model2,-100.0,22,0.5486008690728384,76.43020594965675,0.6843681335449219
Model2,-100.0,23,0.5321328265806994,79.32875667429443,0.7217803001403809
Model2,-100.0,24,0.5456240168970837,77.34553775743707,0.6961995959281921
Model2,-100.0,25,0.5587380533223839,80.39664378337147,0.7347907423973083
Model2,-100.0,26,0.5153391353052869,81.46453089244851,0.750015914440155
Model2,-100.0,27,0.47517557870696103,81.92219679633867,0.756585419178009
Model2,-100.0,28,0.4762943638907781,82.53241800152556,0.7647898197174072
Model2,-100.0,29,0.47148424157379787,82.22730739893211,0.7603106498718262
Model2,-100.0,30,0.47205615896109315,82.30358504958048,0.7613580226898193
Model2,-100.0,31,0.46476483320025974,82.99008390541572,0.77089923620224
Model2,-100.0,32,0.4769973080863851,82.83752860411899,0.768398642539978
Model2,-100.0,33,0.4680545972241053,82.99008390541572,0.7708701491355896
Model2,-100.0,34,0.48082429056945963,81.84591914569032,0.7549560070037842
Model2,-100.0,35,0.46785182438216805,82.68497330282227,0.766903817653656
Model2,-100.0,36,0.4567391823531106,83.29519450800915,0.7749144434928894
Model2,-100.0,37,0.45970638713520234,83.60030511060259,0.7789320349693298
Model2,-100.0,38,0.45948749996613764,83.06636155606407,0.7720889449119568
Model2,-100.0,39,0.4576365974320427,82.99008390541572,0.7706630825996399
Model2,-100.0,40,0.4569669953290967,82.91380625476735,0.7699929475784302
Model2,-100.0,41,0.45741743265354934,82.91380625476735,0.7701841592788696
Model2,-100.0,42,0.4596869201036376,83.29519450800915,0.7746213674545288
Model2,-100.0,43,0.45714987585964684,83.29519450800915,0.7751492857933044
Model2,-100.0,44,0.45315550466605853,82.91380625476735,0.7698826193809509
Model2,-100.0,45,0.4533312592590064,83.82913806254767,0.7821422815322876
Model2,-100.0,46,0.457142424392482,83.9816933638444,0.7841214537620544
